DCR_location,Location_total,address,lon,lat
Walden Pond State Reservation,54,"Walden Pond State Reservation, MA",-71.3401284,42.4387018
"Esplanade, Storrow Embankment Boston",39,"Esplanade, Storrow Embankment Boston, MA",-71.0788876,42.3556187
Memorial Drive,34,"Memorial Drive, MA",-71.1160776,42.364076
Charles River Reservation,32,"Charles River Reservation, MA",-71.1355085,42.36484919999999
Castle Island,31,"Castle Island, MA",-71.0125206,42.3378699
Blue Hills Reservation,29,"Blue Hills Reservation, MA",-71.0933209,42.2141663
"Esplanade, Cambridge - Memorial Drive",24,"Esplanade, Cambridge - Memorial Drive, MA",-71.0788876,42.3556187
"Paul Revere Park, Charlestown",21,"Paul Revere Park, Charlestown, MA",-71.0617656,42.3702592
Borderland State Park,18,"Borderland State Park, MA",-71.16453,42.062648
Georges Island,17,"Georges Island, MA",-70.9286732,42.3200063
Pilgrim Memorial State Park,17,"Pilgrim Memorial State Park, MA",-70.662252,41.958966
Carson Beach,16,"Carson Beach, MA",-71.0475482,42.3261384
Middlesex Fells Reservations,13,"Middlesex Fells Reservations, MA",-71.1054561,42.4521217
Revere Beach,12,"Revere Beach, MA",-70.985881,42.420226
Cambridge Parkway,10,"Cambridge Parkway, MA",-71.0760052,42.3651407
Harold Parker State Forest,10,"Harold Parker State Forest, MA",-71.0788756,42.6265955
Wompatuck State Park,10,"Wompatuck State Park, MA",-70.8473876,42.2040799
"Elm Bank Reservation, Dover - Wellesley",9,"Elm Bank Reservation, Dover - Wellesley, MA",-71.3105819,42.2769121
Fenway Connector To Park Drive,9,"Fenway Connector To Park Drive, MA",-71.1033309,42.3447202
Storrow Drive,9,"Storrow Drive, MA",-71.089115,42.3520732
Houghton's Pond,8,"Houghton's Pond, MA",-71.0962028,42.2074297
Mt. Greylock State Reservation,8,"Mt. Greylock State Reservation, MA",-73.176263,42.602337
Myles Standish State Forest,8,"Myles Standish State Forest, MA",-70.6914549,41.8391914
"Quincy Quarries, Quincy",8,"Quincy Quarries, Quincy, MA",-71.034186,42.243293
Bash Bish Falls State Park,7,"Bash Bish Falls State Park, MA",-73.491618,42.115037
Bradley Palmer State Park,7,"Bradley Palmer State Park, MA",-70.898129,42.6499489
Dighton Rock State Park,7,"Dighton Rock State Park, MA",-71.1030447,41.8110572
Great Brook Farm State Park,7,"Great Brook Farm State Park, MA",-71.3501257,42.5548203
Hatch Shell,7,"Hatch Shell, MA",-71.0736989,42.3572889
"Nahant Beach, Nahant",7,"Nahant Beach, Nahant, MA",-70.9395773,42.44209499999999
"Artesani Playground, Brighton",6,"Artesani Playground, Brighton, MA",-71.137841,42.3643243
"Breakheart Reservation, Saugus - Wakefield",6,"Breakheart Reservation, Saugus - Wakefield, MA",-71.0315251,42.4835501
Halibut Point State Park,6,"Halibut Point State Park, MA",-70.632564,42.689018
Boston Harbor Islands State Park,5,"Boston Harbor Islands State Park, MA",-70.9294163,42.3005287
F. Gilbert Hills State Forest,5,"F. Gilbert Hills State Forest, MA",-71.266777,42.049819
Fall River Heritage State Park,5,"Fall River Heritage State Park, MA",-71.1598601,41.7056597
Freetown - Fall River State Forest,5,"Freetown - Fall River State Forest, MA",-71.0422174,41.7793564
Herter Center,5,"Herter Center, MA",-72.5273012,42.38775
Maudslay State Park,5,"Maudslay State Park, MA",-70.9221584,42.82249840000001
Peddocks Island,5,"Peddocks Island, MA",-70.9352025,42.29523349999999
Pleasure Bay Beach,5,"Pleasure Bay Beach, MA",-71.0185755,42.334846
Purgatory Chasm State Reservation - Dudley State Forest,5,"Purgatory Chasm State Reservation - Dudley State Forest, MA",-71.7138097,42.1293466
"Revere Beach Reservation, Revere",5,"Revere Beach Reservation, Revere, MA",-70.9911558,42.4062156
Salisbury Beach State Reservation,5,"Salisbury Beach State Reservation, MA",-70.8158889,42.8238906
Southwest Corridor Park,5,"Southwest Corridor Park, MA",-71.0990674,42.3241362
Weeks - SFR ( Bridge ),5,"Weeks - SFR ( Bridge ), MA",-71.3824374,42.4072107
Ashland State Park,4,"Ashland State Park, MA",-71.470563,42.2426291
"Brookwood Farm, Canton",4,"Brookwood Farm, Canton, MA",-71.1117838,42.2071743
Ellisville Harbor State Park,4,"Ellisville Harbor State Park, MA",-70.5388525,41.8448576
Lawrence Heritage State Park,4,"Lawrence Heritage State Park, MA",-71.157485,42.706603
Leominster State Forest,4,"Leominster State Forest, MA",-71.8384068,42.52092349999999
Longfellow Bridge,4,"Longfellow Bridge, MA",-71.075347,42.3614991
Lynnway,4,"Lynnway, MA",-70.9631468,42.4502348
"Mary O'Malley Waterfront Park, Chelsea",4,"Mary O'Malley Waterfront Park, Chelsea, MA",-71.052152,42.388772
Mt. Sugarloaf State Reservation,4,"Mt. Sugarloaf State Reservation, MA",-72.5883045,42.4804451
Mt. Tom State Reservation,4,"Mt. Tom State Reservation, MA",-72.6372376,42.26742
Nantasket Beach,4,"Nantasket Beach, MA",-70.87449,42.2917663
